order_id,customer_id,product,region,category,sales,quantity,discount,order_date
1001,C001,Widget A,North,Hardware,4200.00,12,0.05,2024-01-15
1002,C002,Widget B,South,Hardware,3100.50,8,0.00,2024-01-18
1003,C003,Gadget X,West,Electronics,7800.00,20,0.10,2024-02-02
1004,C001,Widget A,North,Hardware,5200.00,15,0.05,2024-02-10
1005,C004,Gadget Y,East,Electronics,2200.00,5,0.00,2024-02-14
1006,C005,Service Plan,North,Services,1200.00,3,0.00,2024-03-01
1007,C002,Widget B,South,Hardware,4100.00,10,0.02,2024-03-05
1008,C006,Gadget X,West,Electronics,9200.00,22,0.15,2024-03-12
1009,C003,Gadget X,West,Electronics,6100.00,14,0.05,2024-03-20
1010,C007,Widget A,North,Hardware,3300.00,9,0.00,2024-04-02
1011,C001,Service Plan,North,Services,1800.00,4,0.00,2024-04-08
1012,C008,Gadget Y,East,Electronics,2700.00,6,0.00,2024-04-15
1013,C009,Widget B,South,Hardware,5100.00,13,0.08,2024-05-01
1014,C004,Gadget Y,East,Electronics,3100.00,7,0.00,2024-05-09
1015,C006,Gadget X,West,Electronics,8800.00,19,0.10,2024-05-20
1016,C010,Widget A,North,Hardware,4600.00,11,0.05,2024-06-03
1017,C007,Service Plan,North,Services,900.00,2,0.00,2024-06-11
1018,C009,Widget B,South,Hardware,4700.00,12,0.05,2024-06-18
1019,C005,Gadget Y,East,Electronics,2500.00,6,0.00,2024-06-25
1020,C008,Gadget X,West,Electronics,10200.00,24,0.12,2024-07-02
